,Team,Salary,Player,Position,Season,Playoffs,Team Winning Percentage
43,Utah Jazz,7799000.0,Greg Ostertag, C,2003,Conf First Round,0.573
44,New Orleans Hornets,7750000.0,Jamal Mashburn, SF,2003,Conf First Round,0.573
45,Houston Rockets,7150000.0,Maurice Taylor, PF,2003,Did not make the Playoffs,0.524
46,Portland Trail Blazers,7145000.0,Derek Anderson, SG,2003,Conf First Round,0.61
47,Chicago Bulls,7140000.0,Donyell Marshall, PF,2003,Did not make the Playoffs,0.366
48,Atlanta Hawks,7091000.0,Alan Henderson, PF,2003,Did not make the Playoffs,0.42700000000000005
49,New Orleans Hornets,7044000.0,P.J. Brown, PF,2003,Conf First Round,0.573
50,Memphis Grizzlies,7000000.0,Wesley Person, SF,2003,Did not make the Playoffs,0.341
51,Indiana Pacers,6960000.0,Austin Croshere, PF,2003,Conf First Round,0.585
52,Indiana Pacers,6950000.0,Jermaine O'Neal, C,2003,Conf First Round,0.585
53,Golden State Warriors,6858000.0,Erick Dampier, C,2003,Did not make the Playoffs,0.46299999999999997
54,Denver Nuggets,6750000.0,Marcus Camby, C,2003,Did not make the Playoffs,0.207
55,Houston Rockets,6696000.0,Kelvin Cato, C,2003,Did not make the Playoffs,0.524
56,Indiana Pacers,6618000.0,Ron Mercer, SG,2003,Conf First Round,0.585
57,Philadelphia 76ers,6600000.0,Tyrone Hill, PF,2003,Conf Semifinals,0.585
58,Phoenix Suns,6555000.0,Bo Outlaw, PF,2003,Conf First Round,0.537
59,New York Knicks,6100000.0,Shandon Anderson, SF,2003,Did not make the Playoffs,0.451
60,Los Angeles Clippers,6061000.0,Michael Olowokandi, C,2003,Did not make the Playoffs,0.32899999999999996
61,Memphis Grizzlies,6050000.0,Lorenzen Wright, PF,2003,Did not make the Playoffs,0.341
62,Washington Wizards,6000000.0,Jerry Stackhouse, SF,2003,Did not make the Playoffs,0.451
63,Golden State Warriors,6000000.0,Chris Mills, SF,2003,Did not make the Playoffs,0.46299999999999997
64,Dallas Mavericks,5750000.0,Steve Nash, PG,2003,Conf Finals,0.732
65,New York Knicks,5750000.0,Charlie Ward, PG,2003,Did not make the Playoffs,0.451
66,Chicago Bulls,5726000.0,Eddie Robinson, SF,2003,Did not make the Playoffs,0.366
67,Sacramento Kings,5625000.0,Doug Christie, SG,2003,Conf Semifinals,0.72
68,Sacramento Kings,5625000.0,Peja Stojakovic, SF,2003,Conf Semifinals,0.72
69,Golden State Warriors,5540000.0,Bob Sura, PG,2003,Did not make the Playoffs,0.46299999999999997
70,Sacramento Kings,5448000.0,Mike Bibby, PG,2003,Conf Semifinals,0.72
71,Toronto Raptors,5350000.0,Alvin Williams, PG,2003,Did not make the Playoffs,0.293
72,New York Knicks,5312000.0,Howard Eisley, PG,2003,Did not make the Playoffs,0.451
73,Los Angeles Lakers,5300000.0,Robert Horry, PF,2003,Conf Semifinals,0.61
74,Toronto Raptors,5250000.0,Jerome Williams, PF,2003,Did not make the Playoffs,0.293
75,Milwaukee Bucks,5250000.0,Jason Caffey, F,2003,Conf First Round,0.512
76,Seattle SuperSonics,5238000.0,Vitaly Potapenko, C,2003,Did not make the Playoffs,0.488
77,Atlanta Hawks,5130000.0,Nazr Mohammed, C,2003,Did not make the Playoffs,0.42700000000000005
78,Memphis Grizzlies,5062000.0,Brevin Knight, PG,2003,Did not make the Playoffs,0.341
79,Seattle SuperSonics,5040000.0,Brent Barry, SG,2003,Did not make the Playoffs,0.488
80,Dallas Mavericks,4675000.0,Shawn Bradley, C,2003,Conf Finals,0.732
81,Orlando Magic,4506000.0,Darrell Armstrong, PG,2003,Conf First Round,0.512
82,Detroit Pistons,4500000.0,Corliss Williamson, PF,2003,Conf Finals,0.61
83,Philadelphia 76ers,4500000.0,Aaron McKie, SG,2003,Conf Semifinals,0.585
84,Milwaukee Bucks,4500000.0,Sam Cassell, PG,2003,Conf First Round,0.512
85,Golden State Warriors,4469000.0,Antawn Jamison, PF,2003,Did not make the Playoffs,0.46299999999999997
86,Golden State Warriors,4400000.0,Adonal Foyle, C,2003,Did not make the Playoffs,0.46299999999999997
87,Houston Rockets,4383000.0,Steve Francis, PG,2003,Did not make the Playoffs,0.524
88,Utah Jazz,4220000.0,Mark Jackson, PG,2003,Conf First Round,0.573
89,Los Angeles Lakers,4170000.0,Rick Fox, SF,2003,Conf Semifinals,0.61
90,Cleveland Cavaliers,4160000.0,Michael Stewart, PF,2003,Did not make the Playoffs,0.207
91,Philadelphia 76ers,4125000.0,Eric Snow, PG,2003,Conf Semifinals,0.585
92,New Jersey Nets,4067000.0,Kenyon Martin, PF,2003,Finals,0.598
93,Milwaukee Bucks,4030000.0,Ervin Johnson, C,2003,Conf First Round,0.512
94,Boston Celtics,4000000.0,Tony Battie, C,2003,Conf Semifinals,0.537
95,New York Knicks,4000000.0,Travis Knight, C,2003,Did not make the Playoffs,0.451
96,Washington Wizards,3974000.0,Kwame Brown, C,2003,Did not make the Playoffs,0.451
97,New Orleans Hornets,3942000.0,Baron Davis, PG,2003,Conf First Round,0.573
98,Detroit Pistons,3850000.0,Zeljko Rebraca, C,2003,Conf Finals,0.61
99,Indiana Pacers,3780000.0,Tim Hardaway, G,2003,Conf First Round,0.585
100,Los Angeles Lakers,3740000.0,Tracy Murray, SF,2003,Conf Semifinals,0.61
101,Boston Celtics,5004000.0,Eric Williams, PF,2003,Conf Semifinals,0.537
102,Detroit Pistons,5000000.0,Ben Wallace, PF,2003,Conf Finals,0.61
103,Seattle SuperSonics,4992000.0,Calvin Booth, C,2003,Did not make the Playoffs,0.488
104,Milwaukee Bucks,4992000.0,Anthony Mason, F,2003,Conf First Round,0.512
105,Portland Trail Blazers,4992000.0,Ruben Patterson, PF,2003,Conf First Round,0.61
106,Minnesota Timberwolves,4991000.0,Joe Smith, PF,2003,Conf First Round,0.622
107,Philadelphia 76ers,4991000.0,Todd MacCulloch, C,2003,Conf Semifinals,0.585
108,New York Knicks,4991000.0,Clarence Weatherspoon, PF,2003,Did not make the Playoffs,0.451
109,Dallas Mavericks,4991000.0,Avery Johnson, PG,2003,Conf Finals,0.732
110,Washington Wizards,4973000.0,Christian Laettner, PF,2003,Did not make the Playoffs,0.451
111,Golden State Warriors,4935000.0,Danny Fortson, C,2003,Did not make the Playoffs,0.46299999999999997
112,Dallas Mavericks,4926000.0,Raef LaFrentz, C,2003,Conf Finals,0.732
113,New York Knicks,4904000.0,Kurt Thomas, PF,2003,Did not make the Playoffs,0.451
114,Houston Rockets,4903000.0,Cuttino Mobley, SG,2003,Did not make the Playoffs,0.524
115,Washington Wizards,4903000.0,Jahidi White, C,2003,Did not make the Playoffs,0.451
116,Seattle SuperSonics,4903000.0,Rashard Lewis, PF,2003,Did not make the Playoffs,0.488
117,Los Angeles Clippers,4895000.0,Elton Brand, PF,2003,Did not make the Playoffs,0.32899999999999996
118,Sacramento Kings,4827000.0,Scot Pollard, C,2003,Conf Semifinals,0.72
119,Indiana Pacers,4800000.0,Brad Miller, C,2003,Conf First Round,0.585
120,New Orleans Hornets,3726000.0,Robert Traylor, PF,2003,Conf First Round,0.573
121,Memphis Grizzlies,3656000.0,Stromile Swift, PF,2003,Did not make the Playoffs,0.341
122,Miami Heat,3656000.0,Anthony Carter, PG,2003,Did not make the Playoffs,0.305
123,New Orleans Hornets,3600000.0,David Wesley, SG,2003,Conf First Round,0.573
124,Detroit Pistons,3600000.0,Chucky Atkins, PG,2003,Conf Finals,0.61
125,Houston Rockets,3600000.0,Moochie Norris, PG,2003,Did not make the Playoffs,0.524
126,Minnesota Timberwolves,3575000.0,Marc Jackson, PF,2003,Conf First Round,0.622
127,Los Angeles Clippers,3557000.0,Lamar Odom, PF,2003,Did not make the Playoffs,0.32899999999999996
128,Memphis Grizzlies,3425000.0,Jason Williams, PG,2003,Did not make the Playoffs,0.341
129,Portland Trail Blazers,3375000.0,Antonio Daniels, PG,2003,Conf First Round,0.61
130,Miami Heat,3300000.0,LaPhonso Ellis, F,2003,Did not make the Playoffs,0.305
131,Sacramento Kings,3300000.0,Lawrence Funderburke, PF,2003,Conf Semifinals,0.72
132,Cleveland Cavaliers,3267000.0,Darius Miles, SF,2003,Did not make the Playoffs,0.207
133,Orlando Magic,3263000.0,Andrew DeClercq, C,2003,Conf First Round,0.512
134,Indiana Pacers,3226000.0,Jonathan Bender, SF,2003,Conf First Round,0.585
135,Minnesota Timberwolves,3220000.0,Anthony Peeler, SG,2003,Conf First Round,0.622
136,Memphis Grizzlies,3194000.0,Pau Gasol, C,2003,Did not make the Playoffs,0.341
137,Detroit Pistons,3175000.0,Jon Barry, SG,2003,Conf Finals,0.61
138,Washington Wizards,3159000.0,Larry Hughes, SG,2003,Did not make the Playoffs,0.451
139,Dallas Mavericks,3104000.0,Evan Eschmeyer, C,2003,Conf Finals,0.732
140,Los Angeles Lakers,3000000.0,Derek Fisher, PG,2003,Conf Semifinals,0.61
141,Toronto Raptors,3000000.0,Lindsey Hunter, SG,2003,Did not make the Playoffs,0.293
142,Orlando Magic,2962000.0,Chris Whitney, PG,2003,Conf First Round,0.512
143,Chicago Bulls,2946000.0,Marcus Fizer, F,2003,Did not make the Playoffs,0.366
144,Minnesota Timberwolves,2933000.0,Wally Szczerbiak, SG,2003,Conf First Round,0.622
145,Dallas Mavericks,2923000.0,Dirk Nowitzki, PF,2003,Conf Finals,0.732
146,Boston Celtics,2813000.0,Mikki Moore, C,2003,Conf Semifinals,0.537
147,Boston Celtics,2793000.0,Paul Pierce, SF,2003,Conf Semifinals,0.537
148,Portland Trail Blazers,2777000.0,Bonzi Wells, SG,2003,Conf First Round,0.61
149,Atlanta Hawks,2775000.0,Matt Maloney, G,2003,Did not make the Playoffs,0.42700000000000005
150,New York Knicks,2753000.0,Michael Doleac, C,2003,Did not make the Playoffs,0.451
151,Atlanta Hawks,2750000.0,Chris Crawford, SF,2003,Did not make the Playoffs,0.42700000000000005
152,Sacramento Kings,2726000.0,Keon Clark, PF,2003,Conf Semifinals,0.72
153,Cleveland Cavaliers,2700000.0,Bimbo Coles, PG,2003,Did not make the Playoffs,0.207
154,Phoenix Suns,2700000.0,Randy Brown, G,2003,Conf First Round,0.537
155,New York Knicks,2700000.0,Othella Harrington, PF,2003,Did not make the Playoffs,0.451
156,Sacramento Kings,2700000.0,Bobby Jackson, PG,2003,Conf Semifinals,0.72
157,Memphis Grizzlies,2699000.0,Michael Dickerson, G,2003,Did not make the Playoffs,0.341
158,Detroit Pistons,2681000.0,Richard Hamilton, SG,2003,Conf Finals,0.61
159,Memphis Grizzlies,2668000.0,Mike Miller, SG,2003,Did not make the Playoffs,0.341
160,Utah Jazz,2667000.0,Matt Harpring, SF,2003,Conf First Round,0.573
161,Orlando Magic,2662000.0,Horace Grant, C,2003,Conf First Round,0.512
162,Los Angeles Clippers,2640000.0,Sean Rooks, C,2003,Did not make the Playoffs,0.32899999999999996
163,New Jersey Nets,2640000.0,Lucious Harris, SG,2003,Finals,0.598
164,Detroit Pistons,2631000.0,Hubert Davis, SG,2003,Conf Finals,0.61
165,San Antonio Spurs,2625000.0,Steve Kerr, G,2003,Champion,0.732
166,Detroit Pistons,2600000.0,Michael Curry, SF,2003,Conf Finals,0.61
167,New Orleans Hornets,2600000.0,George Lynch, SF,2003,Conf First Round,0.573
168,Los Angeles Clippers,2460000.0,Andre Miller, PG,2003,Did not make the Playoffs,0.32899999999999996
169,Minnesota Timberwolves,2436000.0,Rasho Nesterovic, C,2003,Conf First Round,0.622
170,New Orleans Hornets,2400000.0,Stacey Augmon, SF,2003,Conf First Round,0.573
171,Utah Jazz,2393000.0,John Amaechi, PF,2003,Conf First Round,0.573
172,Memphis Grizzlies,2368000.0,Shane Battier, SF,2003,Did not make the Playoffs,0.341
173,Phoenix Suns,2265000.0,Shawn Marion, SG,2003,Conf First Round,0.537
174,Orlando Magic,2238000.0,Pat Garrity, PF,2003,Conf First Round,0.512
175,Cleveland Cavaliers,2222000.0,Chris Mihm, C,2003,Did not make the Playoffs,0.207
176,Houston Rockets,2162000.0,Eddie Griffin, PF,2003,Did not make the Playoffs,0.524
177,Cleveland Cavaliers,2156000.0,Ricky Davis, SG,2003,Did not make the Playoffs,0.207
178,Atlanta Hawks,2153000.0,Jason Terry, G,2003,Did not make the Playoffs,0.42700000000000005
179,Philadelphia 76ers,2148000.0,Brian Skinner, PF,2003,Conf Semifinals,0.585
180,Indiana Pacers,2110000.0,Al Harrington, PF,2003,Conf First Round,0.585
181,Los Angeles Clippers,2069000.0,Corey Maggette, SF,2003,Did not make the Playoffs,0.32899999999999996
182,Chicago Bulls,2026000.0,Jamal Crawford, SG,2003,Did not make the Playoffs,0.366
183,Denver Nuggets,1987000.0,Shammond Williams, PG,2003,Did not make the Playoffs,0.207
184,Cleveland Cavaliers,1980000.0,DeSagana Diop, C,2003,Did not make the Playoffs,0.207
185,Indiana Pacers,1904000.0,Metta World Peace, SF,2003,Conf First Round,0.585
186,Washington Wizards,1885000.0,Tyronn Lue, PG,2003,Did not make the Playoffs,0.451
187,Milwaukee Bucks,1862000.0,Joel Przybilla, C,2003,Conf First Round,0.512
188,Denver Nuggets,1821000.0,Rodney White, SF,2003,Did not make the Playoffs,0.207
189,Los Angeles Clippers,1769000.0,Keyon Dooling, PG,2003,Did not make the Playoffs,0.32899999999999996
190,Phoenix Suns,1729000.0,Joe Johnson, G,2003,Conf First Round,0.537
191,Houston Rockets,1723000.0,James Posey, SF,2003,Did not make the Playoffs,0.524
192,New Orleans Hornets,1681000.0,Jerome Moiso, C,2003,Conf First Round,0.573
193,Detroit Pistons,1650000.0,Danny Manning, F,2003,Conf Finals,0.61
194,Boston Celtics,1643000.0,Kedrick Brown, SG,2003,Conf Semifinals,0.537
195,Utah Jazz,1636000.0,Tony Massenburg, PF,2003,Conf First Round,0.573
196,Washington Wizards,1605000.0,Etan Thomas, C,2003,Did not make the Playoffs,0.451
197,Atlanta Hawks,1584000.0,Dion Glover, SG,2003,Did not make the Playoffs,0.42700000000000005
198,Indiana Pacers,1571000.0,Jeff Foster, PF,2003,Conf First Round,0.585
199,Seattle SuperSonics,1561000.0,Vladimir Radmanovic, SF,2003,Did not make the Playoffs,0.488
200,Philadelphia 76ers,1557000.0,Kenny Thomas, PF,2003,Conf Semifinals,0.585
201,Los Angeles Lakers,1542000.0,Devean George, SF,2003,Conf Semifinals,0.61
202,Los Angeles Lakers,1540000.0,Samaki Walker, PF,2003,Conf Semifinals,0.61
203,New Orleans Hornets,1524000.0,Courtney Alexander, SG,2003,Conf First Round,0.573
204,New Jersey Nets,1482000.0,Richard Jefferson, F,2003,Finals,0.598
205,Sacramento Kings,1441000.0,Mateen Cleaves, PG,2003,Conf Semifinals,0.72
206,Cleveland Cavaliers,1419000.0,Jumaine Jones, SF,2003,Did not make the Playoffs,0.207
207,Utah Jazz,1410000.0,Scott Padgett, PF,2003,Conf First Round,0.573
208,Golden State Warriors,1409000.0,Troy Murphy, PF,2003,Did not make the Playoffs,0.46299999999999997
209,Los Angeles Lakers,1400000.0,Brian Shaw, G,2003,Conf Semifinals,0.61
210,Chicago Bulls,1400000.0,Corie Blount, PF,2003,Did not make the Playoffs,0.366
211,Philadelphia 76ers,1400000.0,Monty Williams, SF,2003,Conf Semifinals,0.585
212,Houston Rockets,1376000.0,Jason Collier, C,2003,Did not make the Playoffs,0.524
213,Sacramento Kings,1300000.0,Hedo Turkoglu, SF,2003,Conf Semifinals,0.72
214,New Orleans Hornets,1300000.0,Bryce Drew, PG,2003,Conf First Round,0.573
215,New Orleans Hornets,1271000.0,Kirk Haston, F,2003,Conf First Round,0.573
216,Seattle SuperSonics,1235000.0,Desmond Mason, SF,2003,Did not make the Playoffs,0.488
217,Toronto Raptors,1208000.0,Michael Bradley, PF,2003,Did not make the Playoffs,0.293
218,Los Angeles Clippers,1174000.0,Quentin Richardson, SF,2003,Did not make the Playoffs,0.32899999999999996
219,New Jersey Nets,1147000.0,Jason Collins, C,2003,Finals,0.598
220,New Orleans Hornets,1126000.0,Jamaal Magloire, C,2003,Conf First Round,0.573
221,Detroit Pistons,1100000.0,Don Reid, F,2003,Conf Finals,0.61
222,San Antonio Spurs,1100000.0,Danny Ferry, F,2003,Champion,0.732
223,Philadelphia 76ers,1100000.0,Mark Bryant, F,2003,Conf Semifinals,0.585
224,Portland Trail Blazers,1096000.0,Zach Randolph, PF,2003,Conf First Round,0.61
225,San Antonio Spurs,1081000.0,Speedy Claxton, PG,2003,Champion,0.732
226,Toronto Raptors,1033000.0,Morris Peterson, SG,2003,Did not make the Playoffs,0.293
227,Washington Wizards,1030000.0,Michael Jordan, G,2003,Did not make the Playoffs,0.451
228,Seattle SuperSonics,1009000.0,Joseph Forte, G,2003,Did not make the Playoffs,0.488
229,San Antonio Spurs,1000000.0,Kevin Willis, C,2003,Champion,0.732
230,Denver Nuggets,992000.0,Donnell Harvey, PF,2003,Did not make the Playoffs,0.207
231,Orlando Magic,969000.0,Jeryl Sasser, G,2003,Conf First Round,0.512
232,Utah Jazz,956000.0,DeShawn Stevenson, SG,2003,Conf First Round,0.573
233,New Jersey Nets,930000.0,Brandon Armstrong, SG,2003,Finals,0.598
234,Chicago Bulls,914000.0,Dalibor Bagaric, C,2003,Did not make the Playoffs,0.366
235,Utah Jazz,893000.0,Andrei Kirilenko, SF,2003,Conf First Round,0.573
236,Phoenix Suns,877000.0,Jake Tsakalidis, C,2003,Conf First Round,0.537
237,Toronto Raptors,852000.0,Mamadou N'diaye, C,2003,Did not make the Playoffs,0.293
238,San Antonio Spurs,824000.0,Bruce Bowen, SF,2003,Champion,0.732
239,Los Angeles Clippers,824000.0,Cherokee Parks, PF,2003,Did not make the Playoffs,0.32899999999999996
240,Atlanta Hawks,824000.0,Emanual Davis, G,2003,Did not make the Playoffs,0.42700000000000005
241,Los Angeles Lakers,817000.0,Mark Madsen, PF,2003,Conf Semifinals,0.61
242,Indiana Pacers,805000.0,Jamaal Tinsley, PG,2003,Conf First Round,0.585
243,Indiana Pacers,805000.0,Primoz Brezec, C,2003,Conf First Round,0.585
244,San Antonio Spurs,800000.0,Tony Parker, PG,2003,Champion,0.732
245,Cleveland Cavaliers,749000.0,Milt Palacio, PG,2003,Did not make the Playoffs,0.207
246,Sacramento Kings,714000.0,Gerald Wallace, SF,2003,Conf Semifinals,0.72
247,Orlando Magic,700000.0,Jacque Vaughn, PG,2003,Conf First Round,0.512
248,Golden State Warriors,700000.0,Earl Boykins, PG,2003,Did not make the Playoffs,0.46299999999999997
249,Miami Heat,637000.0,Vladimir Stepania, C,2003,Did not make the Playoffs,0.305
250,Denver Nuggets,637000.0,Mark Blount, C,2003,Did not make the Playoffs,0.207
251,Atlanta Hawks,612000.0,Amal McCaskill, C,2003,Did not make the Playoffs,0.42700000000000005
252,Portland Trail Blazers,612000.0,Charles Smith, SG,2003,Conf First Round,0.61
253,Phoenix Suns,587000.0,Jake Voskuhl, C,2003,Conf First Round,0.537
254,San Antonio Spurs,587000.0,Stephen Jackson, SF,2003,Champion,0.732
255,Denver Nuggets,587000.0,Ryan Bowen, SF,2003,Did not make the Playoffs,0.207
256,Orlando Magic,587000.0,Olumide Oyedeji, C,2003,Conf First Round,0.512
257,Seattle SuperSonics,526000.0,Predrag Drobnjak, C,2003,Did not make the Playoffs,0.488
258,Chicago Bulls,512000.0,Trenton Hassell, SF,2003,Did not make the Playoffs,0.366
259,Toronto Raptors,512000.0,Damone Brown, PF,2003,Did not make the Playoffs,0.293
260,Golden State Warriors,512000.0,Gilbert Arenas, PG,2003,Did not make the Playoffs,0.46299999999999997
261,Denver Nuggets,512000.0,Jeff Trepagnier, SG,2003,Did not make the Playoffs,0.207
262,New Jersey Nets,512000.0,Brian Scalabrine, PF,2003,Finals,0.598
263,Minnesota Timberwolves,28000000.0,Kevin Garnett, PF,2004,Conf Finals,0.7070000000000001
264,Dallas Mavericks,13500000.0,Antoine Walker, PF,2004,Conf First Round,0.634
265,Phoenix Suns,13500000.0,Stephon Marbury, PG,2004,Did not make the Playoffs,0.354
266,Dallas Mavericks,13281000.0,Michael Finley, SG,2004,Conf First Round,0.634
267,New York Knicks,13280000.0,Keith Van Horn, PF,2004,Conf First Round,0.47600000000000003
268,San Antonio Spurs,13279000.0,Tim Duncan, C,2004,Conf Semifinals,0.695
269,Orlando Magic,13279000.0,Tracy McGrady, SG,2004,Did not make the Playoffs,0.256
270,Toronto Raptors,13279000.0,Jalen Rose, SG,2004,Did not make the Playoffs,0.402
271,Miami Heat,12320000.0,Eddie Jones, SG,2004,Conf Semifinals,0.512
272,Miami Heat,12234000.0,Brian Grant, PF,2004,Conf Semifinals,0.512
273,Sacramento Kings,12051000.0,Vlade Divac, C,2004,Conf Semifinals,0.6709999999999999
274,Los Angeles Lakers,26571000.0,Shaquille O'Neal, C,2004,Finals,0.6829999999999999
275,Toronto Raptors,12000000.0,Antonio Davis, PF,2004,Did not make the Playoffs,0.402
276,Toronto Raptors,11953000.0,Vince Carter, SF,2004,Did not make the Playoffs,0.402
277,New York Knicks,11825000.0,Tim Thomas, PF,2004,Conf First Round,0.47600000000000003
278,Utah Jazz,11668000.0,Tom Gugliotta, PF,2004,Did not make the Playoffs,0.512
279,New Jersey Nets,10950000.0,Jason Kidd, PG,2004,Conf Semifinals,0.573
280,Golden State Warriors,10912000.0,Nick Van Exel, PG,2004,Did not make the Playoffs,0.451
281,Philadelphia 76ers,10730000.0,Glenn Robinson, SF,2004,Did not make the Playoffs,0.402
282,Portland Trail Blazers,10156000.0,Theo Ratliff, C,2004,Did not make the Playoffs,0.5
283,Los Angeles Clippers,9600000.0,Glen Rice, SF,2004,Did not make the Playoffs,0.341
284,New Jersey Nets,9267000.0,Kerry Kittles, SG,2004,Conf Semifinals,0.573
285,Portland Trail Blazers,18000000.0,Rasheed Wallace, PF,2004,Did not make the Playoffs,0.5
286,Utah Jazz,8666000.0,Greg Ostertag, C,2004,Did not make the Playoffs,0.512
287,New Orleans Hornets,8525000.0,Jamal Mashburn, SF,2004,Conf First Round,0.5
288,Milwaukee Bucks,8050000.0,Toni Kukoc, SF,2004,Conf First Round,0.5
289,Houston Rockets,7800000.0,Maurice Taylor, PF,2004,Conf First Round,0.5489999999999999
290,Portland Trail Blazers,7794000.0,Derek Anderson, SG,2004,Did not make the Playoffs,0.5
291,Memphis Grizzlies,7700000.0,Wesley Person, SF,2004,Conf First Round,0.61
292,Atlanta Hawks,7682000.0,Alan Henderson, PF,2004,Did not make the Playoffs,0.341
293,Indiana Pacers,7610000.0,Austin Croshere, PF,2004,Conf Finals,0.7440000000000001
294,Golden State Warriors,7482000.0,Erick Dampier, C,2004,Did not make the Playoffs,0.451
295,Houston Rockets,7344000.0,Kelvin Cato, C,2004,Conf First Round,0.5489999999999999
296,New York Knicks,17895000.0,Dikembe Mutombo, C,2004,Conf First Round,0.47600000000000003
297,Denver Nuggets,7250000.0,Marcus Camby, C,2004,Conf First Round,0.524
298,New York Knicks,15937000.0,Allan Houston, SG,2004,Conf First Round,0.47600000000000003
299,Sacramento Kings,15937000.0,Chris Webber, C,2004,Conf Semifinals,0.6709999999999999
300,Portland Trail Blazers,14625000.0,Damon Stoudamire, PG,2004,Did not make the Playoffs,0.5
301,Seattle SuperSonics,13500000.0,Ray Allen, SG,2004,Did not make the Playoffs,0.451
302,Minnesota Timberwolves,13500000.0,Latrell Sprewell, SG,2004,Conf Finals,0.7070000000000001
303,San Antonio Spurs,7169000.0,Ron Mercer, SG,2004,Conf Semifinals,0.695
304,New York Knicks,6700000.0,Shandon Anderson, SF,2004,Conf First Round,0.47600000000000003
305,Memphis Grizzlies,6600000.0,Lorenzen Wright, PF,2004,Conf First Round,0.61
306,Washington Wizards,6500000.0,Jerry Stackhouse, SF,2004,Did not make the Playoffs,0.305
307,Los Angeles Clippers,6364000.0,Elton Brand, PF,2004,Did not make the Playoffs,0.341
308,Sacramento Kings,6250000.0,Doug Christie, SG,2004,Conf Semifinals,0.6709999999999999
